1,200,"Starting at Bay I at Lansdowne Exchange (Stop ID: 104200).  On Lansdowne St (going west), travel 0.9 km.  Continue Straight on Victoria St W (going west), travel 0.7 km.  Take Victoria St Onramp on Left (going west), travel 0.2 km.  Merge on Overlander Bridge (going north), travel 0.5 km.  Continue on Fortune Dr (going north), travel 38 meters.  Turn Right on Tranquille Rd (going north-east), travel 2.3 km.  Turn Right on Sydney Ave (going north-east), travel 0.2 km.  Continue Straight on 7th St (going north-east), travel 14 meters.  Turn Left on Fortune Dr (going north-west), travel 0.5 km.  Continue on Tranquille Rd (going west), travel 4.2 km.  Turn Right on Crestline St (going north), travel 0.4 km.  Finish at northbound Crestline FS Greenfield (Stop ID: 104227)."
4,103,"Starting at southbound Pacific FS Aberdeen (Stop ID: 104417).  On Pacific Way (going south), travel 0.6 km.  Turn Left on Abbeyglen Way (going north-east), travel 1.0 km.  Turn Right on Aberdeen Dr (going east), travel 0.5 km.  Turn Left on Van Horne Dr (going north), travel 0.3 km.  Turn Left on Laurier Dr (going west), travel 0.3 km.  Turn Right on Garymede Dr (going north), travel 0.5 km.  Turn Left on Greystone Cres (going north-west), travel 0.2 km.  Turn Right on Pacific Way (going north-west), travel 1.7 km.  Turn Right on Hillside Dr (going east), travel 0.4 km.  Turn Right on mall access (going south-east), travel 0.3 km.  Turn Right on Hillside Dr (going north-east), travel 1.8 km.  Turn Right on bus Lane (going south-east), travel 0.2 km.  Turn Right on Dalhousie Dr (going south-east), travel 0.5 km.  Turn Left on McGill Rd (going east), travel 0.7 km.  Turn Left on Columbia St W (going north), travel 0.6 km.  Turn Left on Grandview Terr (going north), travel 0.6 km.  Turn Right on Centre Ave (going north), travel 0.3 km.  Turn Right on Lombard St (going east), travel 0.2 km.  Turn Right on Strathcona Terr (going south-east), travel 0.5 km.  Turn Left on Battle St W (going east), travel 0.7 km.  Continue Straight on Battle St (going east), travel 0.3 km.  Turn Left on 3rd Ave (going north), travel 0.2 km.  Turn Right on Seymour St (going east), travel 0.5 km.  Turn Left on 6th Ave (going north), travel 0.2 km.  Turn Right on bus Lane (going north-east), travel 0.2 km.  Turn Right on Lansdowne St (going west), travel 46 meters.  Finish at Bay F at Lansdowne Exchange (Stop ID: 104389)."
4,200,"Starting at Bay F at Lansdowne Exchange (Stop ID: 104389).  On Lansdowne St (going west), travel 75 meters.  Turn Left on 6th Ave (going south), travel 97 meters.  Turn Right on Victoria St (going west), travel 0.3 km.  Turn Left on 4th Ave (going south), travel 0.5 km.  Turn Right on Columbia St (going west), travel 0.5 km.  Continue Straight on Columbia St W (going west), travel 0.4 km.  Turn Left on Sahali Terr (going south-west), travel 0.5 km.  Turn Left on Bestwick Dr (going south-east), travel 0.4 km.  Turn Right on McGill Rd (going west), travel 2.0 km.  Turn Right on Dalhousie Dr (going north), travel 0.5 km.  Turn Left on bus Lane (going north-west), travel 0.2 km.  Turn Left on Hillside Dr (going south-west), travel 1.8 km.  Turn Left on mall access (going south), travel 0.3 km.  Turn Left on Hillside Dr (going south-west), travel 0.3 km.  Turn Left on Pacific Way (going south), travel 2.6 km.  Finish at southbound Pacific FS Aberdeen (Stop ID: 104417)."
4,201,"Starting at Bay F at Lansdowne Exchange (Stop ID: 104389).  On Lansdowne St (going west), travel 75 meters.  Turn Left on 6th Ave (going south), travel 97 meters.  Turn Right on Victoria St (going west), travel 0.3 km.  Turn Left on 4th Ave (going south), travel 0.5 km.  Turn Right on Columbia St (going west), travel 0.5 km.  Continue Straight on Columbia St W (going west), travel 1.5 km.  Turn Right on McGill Rd (going west), travel 0.7 km.  Turn Right on Dalhousie Dr (going north), travel 0.5 km.  Turn Left on bus Lane (going north-west), travel 0.2 km.  Turn Left on Hillside Dr (going south-west), travel 1.8 km.  Turn Left on mall access (going south), travel 0.3 km.  Turn Left on Hillside Dr (going south-west), travel 0.3 km.  Turn Left on Pacific Way (going south), travel 2.6 km.  Finish at southbound Pacific FS Aberdeen (Stop ID: 104417)."
5,100,"Starting at westbound Hugh Allan NS Lodgepole (Stop ID: 104462).  On Hugh Allan Dr (going west), travel 97 meters.  Turn Left on Lodgepole Dr (going south), travel 0.8 km.  Turn Left on Copperhead Dr (going north-west), travel 1.3 km.  Turn Right on Hillside Dr (going east), travel 2.0 km.  Turn Right on mall access (going south-east), travel 0.3 km.  Turn Right on Hillside Dr (going north-east), travel 1.8 km.  Turn Right on bus Lane (going east), travel 0.2 km.  Finish at Bay H at TRU Exchange (Stop ID: 104453)."
5,101,"Starting at westbound Hugh Allan NS Lodgepole (Stop ID: 104462).  On Hugh Allan Dr (going west), travel 97 meters.  Turn Left on Lodgepole Dr (going south), travel 0.8 km.  Turn Left on Copperhead Dr (going north-west), travel 1.3 km.  Turn Right on Hillside Dr (going east), travel 2.0 km.  Turn Right on mall access (going south-east), travel 0.3 km.  Turn Right on Hillside Dr (going north-east), travel 1.8 km.  Turn Right on bus Lane (going east), travel 0.2 km.  Turn Left on Hillside Dr (going south-west), travel 0.3 km.  Turn Left on McGill Rd (going east), travel 1.2 km.  Turn Left on Columbia St W (going north), travel 0.6 km.  Turn Left on Grandview Terr (going north), travel 0.6 km.  Turn Right on Centre Ave (going north), travel 0.3 km.  Turn Right on Lombard St (going east), travel 0.2 km.  Turn Right on Strathcona Terr (going south-east), travel 0.5 km.  Turn Left on Battle St W (going east), travel 0.7 km.  Continue Straight on Battle St (going east), travel 0.3 km.  Turn Left on 3rd Ave (going north), travel 0.2 km.  Turn Right on Seymour St (going east), travel 0.5 km.  Turn Left on 6th Ave (going north), travel 0.2 km.  Turn Right on bus Lane (going north-east), travel 44 meters.  Finish at Bay A at Lansdowne Exchange (Stop ID: 104873)."
5,200,"Starting at Bay H at TRU Exchange (Stop ID: 104453).  On bus Lane (going west), travel 50 meters.  Turn Left on Hillside Dr (going south-west), travel 1.8 km.  Turn Left on mall access (going south), travel 0.3 km.  Turn Left on Hillside Dr (going south-west), travel 2.0 km.  Turn Left on Copperhead Dr (going south), travel 1.0 km.  Turn Right on Hugh Allan Dr (going south-west), travel 0.2 km.  Finish at westbound Hugh Allan NS Lodgepole (Stop ID: 104462)."
5,201,"Starting at Bay H at TRU Exchange (Stop ID: 104453).  On bus Lane (going west), travel 50 meters.  Turn Left on Hillside Dr (going south-west), travel 1.8 km.  Turn Left on mall access (going south), travel 0.3 km.  Turn Left on Hillside Dr (going south-west), travel 0.3 km.  Turn Left on Pacific Way (going south), travel 0.4 km.  Turn Right on Hugh Allan Dr (going west), travel 0.2 km.  Take turning lane on Right (going north-west), travel 91 meters.  Merge on Versatile Dr (going north), travel 1.4 km.  Turn Left on Copperhead Dr (going south-west), travel 0.7 km.  Turn Right on Hugh Allan Dr (going south-west), travel 0.2 km.  Finish at westbound Hugh Allan NS Lodgepole (Stop ID: 104462)."
5,202,"Starting at Bay A at Lansdowne Exchange (Stop ID: 104873).  On bus Lane (going east), travel 0.1 km.  Turn Right on Lansdowne St (going west), travel 0.1 km.  Turn Left on 6th Ave (going south), travel 0.6 km.  Turn Right on Columbia St (going west), travel 0.5 km.  Turn Right on 3rd Ave (going north), travel 0.2 km.  Turn Left on Battle St (going west), travel 0.3 km.  Continue Straight on Battle St W (going west), travel 0.7 km.  Turn Right on Strathcona Terr (going north-west), travel 0.5 km.  Turn Left on Lombard St (going south-west), travel 0.2 km.  Turn Left on Centre Ave (going south), travel 0.3 km.  Turn Left on Grandview Terr (going east), travel 0.5 km.  Turn Right on Columbia St W (going west), travel 0.6 km.  Turn Right on McGill Rd (going west), travel 0.7 km.  Turn Right on Dalhousie Dr (going north), travel 0.5 km.  Turn Left on bus Lane (going north-west), travel 0.2 km.  Turn Left on Hillside Dr (going south-west), travel 1.8 km.  Turn Left on mall access (going south), travel 0.3 km.  Turn Left on Hillside Dr (going south-west), travel 2.0 km.  Turn Left on Copperhead Dr (going south), travel 1.0 km.  Turn Right on Hugh Allan Dr (going south-west), travel 0.2 km.  Finish at westbound Hugh Allan NS Lodgepole (Stop ID: 104462)."
6,100,"Starting at Bay D at Lansdowne Exchange (Stop ID: 104479).  On bus Lane (going east), travel 54 meters.  Turn Right on Lansdowne St (going west), travel 0.1 km.  Turn Left on 6th Ave (going south), travel 97 meters.  Turn Right on Victoria St (going west), travel 0.3 km.  Turn Left on 4th Ave (going south), travel 0.5 km.  Turn Left on Columbia St (going east), travel 0.5 km.  Turn Right on 7th Ave (going south), travel 0.6 km.  Continue on Cowan St (going south-west), travel 0.2 km.  Turn Left on 6th Ave (going south), travel 0.2 km.  Continue Straight on Fraser St (going east), travel 1.1 km.  Continue on 11th Ave (going north), travel 0.3 km.  Turn Right on Pine St (going east), travel 0.3 km.  Turn Left on 13th Ave (going north), travel 0.2 km.  Turn Left on Columbia St (going west), travel 0.3 km.  Turn Right on 11th Ave (going north), travel 0.2 km.  Turn Left on Battle St (going west), travel 0.7 km.  Turn Left on 7th Ave (going south), travel 0.2 km.  Turn Right on Columbia St (going west), travel 0.4 km.  Turn Left on 5th Ave (going south), travel 9 meters.  Continue Straight on access road (going south), travel 1.4 km.  Turn Right on 3rd Ave (going north), travel 0.7 km.  Turn Right on Seymour St (going east), travel 0.5 km.  Turn Left on 6th Ave (going north), travel 0.2 km.  Turn Right on bus Lane (going north-east), travel 0.1 km.  Finish at Bay D at Lansdowne Exchange (Stop ID: 104479)."
6,101,"Starting at Bay D at Lansdowne Exchange (Stop ID: 104479).  On bus Lane (going east), travel 54 meters.  Turn Right on Lansdowne St (going west), travel 0.1 km.  Turn Left on 6th Ave (going south), travel 97 meters.  Turn Right on Victoria St (going west), travel 0.3 km.  Turn Left on 4th Ave (going south), travel 0.5 km.  Turn Left on Columbia St (going east), travel 0.5 km.  Turn Right on 7th Ave (going south), travel 0.6 km.  Continue on Cowan St (going south-west), travel 0.2 km.  Turn Left on 6th Ave (going south), travel 0.2 km.  Continue Straight on Fraser St (going east), travel 1.1 km.  Continue on 11th Ave (going north), travel 0.3 km.  Turn Right on Pine St (going east), travel 0.3 km.  Turn Left on 13th Ave (going north), travel 0.2 km.  Turn Left on Columbia St (going west), travel 0.3 km.  Turn Right on 11th Ave (going north), travel 0.2 km.  Turn Left on Battle St (going west), travel 0.7 km.  Turn Left on 7th Ave (going south), travel 0.2 km.  Turn Right on Columbia St (going west), travel 0.7 km.  Turn Right on 3rd Ave (going north), travel 0.4 km.  Turn Right on Seymour St (going east), travel 0.5 km.  Turn Left on 6th Ave (going north), travel 0.2 km.  Turn Right on bus Lane (going north-east), travel 0.1 km.  Finish at Bay D at Lansdowne Exchange (Stop ID: 104479)."
6,102,"Starting at Bay D at Lansdowne Exchange (Stop ID: 104479).  On bus Lane (going east), travel 54 meters.  Turn Right on Lansdowne St (going west), travel 0.1 km.  Turn Left on 6th Ave (going south), travel 97 meters.  Turn Right on Victoria St (going west), travel 0.3 km.  Turn Left on 4th Ave (going south), travel 0.5 km.  Turn Left on Columbia St (going east), travel 0.2 km.  Turn Right on access road (going south), travel 1.4 km.  Turn Right on 3rd Ave (going north), travel 0.3 km.  Turn Right on Columbia St (going east), travel 0.7 km.  Turn Right on 7th Ave (going south), travel 0.6 km.  Continue on Cowan St (going south-west), travel 0.2 km.  Turn Left on 6th Ave (going south), travel 0.2 km.  Continue Straight on Fraser St (going east), travel 1.1 km.  Continue on 11th Ave (going north), travel 0.3 km.  Turn Right on Pine St (going east), travel 0.3 km.  Turn Left on 13th Ave (going north), travel 0.2 km.  Turn Left on Columbia St (going west), travel 0.3 km.  Turn Right on 11th Ave (going north), travel 0.2 km.  Turn Left on Battle St (going west), travel 0.7 km.  Turn Left on 7th Ave (going south), travel 0.2 km.  Turn Right on Columbia St (going west), travel 0.7 km.  Turn Right on 3rd Ave (going north), travel 0.4 km.  Turn Right on Seymour St (going east), travel 0.5 km.  Turn Left on 6th Ave (going north), travel 0.2 km.  Turn Right on bus Lane (going north-east), travel 0.1 km.  Finish at Bay D at Lansdowne Exchange (Stop ID: 104479)."
7,101,"Starting at eastbound Laurier NS Sifton (Stop ID: 104534).  On Laurier Dr (going east), travel 0.2 km.  Turn Right on Aberdeen Dr (going north-west), travel 0.8 km.  Turn Right on Van Horne Dr (going north), travel 1.6 km.  Turn Right on Howe Rd (going east), travel 0.5 km.  Turn Left on Hugh Allan Dr (going west), travel 0.8 km.  Turn Right on Rogers Way (going north-east), travel 0.7 km.  Turn Left on Hwy 5A (going north-west), travel 0.3 km.  Continue Straight on Hillside Way (going north), travel 0.3 km.  Take turning lane on Left (going north-west), travel 79 meters.  Merge on Hillside Dr (going north), travel 1.3 km.  Turn Right on McGill Rd (going east), travel 0.4 km.  Turn Right on Dalhousie Dr (going south), travel 0.5 km.  Turn Left on Notre Dame Dr (going east), travel 1.2 km.  Turn Left on Summit Dr (going north-west), travel 1.1 km.  Turn Right on McGill Rd (going north-east), travel 0.3 km.  Turn Left on Columbia St W (going north), travel 1.4 km.  Continue Straight on Columbia St (going east), travel 0.3 km.  Turn Left on 3rd Ave (going north), travel 0.4 km.  Turn Right on Seymour St (going east), travel 0.5 km.  Turn Left on 6th Ave (going north), travel 0.2 km.  Turn Right on bus Lane (going north-east), travel 88 meters.  Finish at Bay C at Lansdowne Exchange (Stop ID: 104504)."
7,200,"Starting at Bay C at Lansdowne Exchange (Stop ID: 104504).  On bus Lane (going east), travel 73 meters.  Turn Right on Lansdowne St (going west), travel 0.1 km.  Turn Left on 6th Ave (going south), travel 0.6 km.  Turn Right on Columbia St (going west), travel 0.8 km.  Continue Straight on Columbia St W (going west), travel 1.5 km.  Turn Right on McGill Rd (going west), travel 0.7 km.  Turn Right on Dalhousie Dr (going north), travel 0.5 km.  Turn Left on bus Lane (going north-west), travel 0.2 km.  Turn Left on Hillside Dr (going south-west), travel 0.3 km.  Turn Left on McGill Rd (going east), travel 0.9 km.  Take turning lane on Right (going east), travel 58 meters.  Merge on Summit Dr (going south-east), travel 1.0 km.  Take turning lane on Right (going south-west), travel 24 meters.  Merge on Notre Dame Dr (going west), travel 1.6 km.  Turn Left on Hillside Dr (going south-east), travel 0.6 km.  Turn Left on Hillside Way (going south-east), travel 0.4 km.  Continue Straight on Hwy 5A (going south), travel 0.2 km.  Take turning lane on Right (going south-east), travel 59 meters.  Merge on Rogers Way (going south-west), travel 0.6 km.  Turn Left on Hugh Allan Dr (going south-east), travel 1.3 km.  Turn Right on Sifton Ave (going south-west), travel 1.3 km.  Turn Left on Laurier Dr (going east), travel 41 meters.  Finish at eastbound Laurier NS Sifton (Stop ID: 104534)."
7,202,"Starting at Bay F at TRU Exchange (Stop ID: 104512).  On bus Lane (going south-west), travel 90 meters.  Turn Left on Hillside Dr (going south-west), travel 0.3 km.  Turn Left on McGill Rd (going east), travel 0.9 km.  Take turning lane on Right (going east), travel 58 meters.  Merge on Summit Dr (going south-east), travel 1.0 km.  Take turning lane on Right (going south-west), travel 24 meters.  Merge on Notre Dame Dr (going west), travel 1.6 km.  Turn Left on Hillside Dr (going south-east), travel 0.6 km.  Turn Left on Hillside Way (going south-east), travel 0.4 km.  Continue Straight on Hwy 5A (going south), travel 0.2 km.  Take turning lane on Right (going south-east), travel 59 meters.  Merge on Rogers Way (going south-west), travel 0.6 km.  Turn Left on Hugh Allan Dr (going south-east), travel 1.3 km.  Turn Right on Sifton Ave (going south-west), travel 1.3 km.  Turn Left on Laurier Dr (going east), travel 41 meters.  Finish at eastbound Laurier NS Sifton (Stop ID: 104534)."
8,100,"Starting at northbound Columbia St W FS Summit (Stop ID: 104558).  On Columbia St W (going north), travel 0.9 km.  Turn Left on Grandview Terr (going north), travel 0.6 km.  Turn Right on Centre Ave (going north), travel 0.3 km.  Turn Right on Lombard St (going east), travel 0.2 km.  Turn Right on Strathcona Terr (going south-east), travel 0.5 km.  Turn Left on Battle St W (going east), travel 0.7 km.  Continue Straight on Battle St (going east), travel 0.3 km.  Turn Left on 3rd Ave (going north), travel 0.2 km.  Turn Right on Seymour St (going east), travel 0.5 km.  Turn Left on 6th Ave (going north), travel 0.2 km.  Turn Right on bus Lane (going north-east), travel 0.1 km.  Finish at Bay D at Lansdowne Exchange (Stop ID: 104479)."
8,200,"Starting at Bay D at Lansdowne Exchange (Stop ID: 104479).  On bus Lane (going east), travel 54 meters.  Turn Right on Lansdowne St (going west), travel 0.1 km.  Turn Left on 6th Ave (going south), travel 0.6 km.  Turn Right on Columbia St (going west), travel 0.5 km.  Turn Right on 3rd Ave (going north), travel 0.2 km.  Turn Left on Battle St (going west), travel 0.3 km.  Continue Straight on Battle St W (going west), travel 0.7 km.  Turn Right on Strathcona Terr (going north-west), travel 0.5 km.  Turn Left on Lombard St (going south-west), travel 0.2 km.  Turn Left on Centre Ave (going south), travel 0.3 km.  Turn Left on Grandview Terr (going east), travel 0.5 km.  Turn Right on Columbia St W (going west), travel 0.6 km.  Turn Right on McGill Rd (going west), travel 0.3 km.  Turn Left on Summit Dr (going south-east), travel 0.4 km.  Turn Left on Columbia St W (going north), travel 88 meters.  Finish at northbound Columbia St W FS Summit (Stop ID: 104558)."
9,101,"Starting at southbound Springhill NS Gleneagles (Stop ID: 104585).  On Springhill Dr (going south-west), travel 43 meters.  Turn Left on Gleneagles Dr (going east), travel 1.8 km.  Turn Right on Whistler Dr (going south), travel 0.4 km.  Turn Right on Robson Lane (going south), travel 97 meters.  Turn Right on Robson Dr (going north-west), travel 1.4 km.  Turn Left on Summit Dr (going east), travel 4.5 km.  Turn Left on McGill Rd (going west), travel 0.5 km.  Turn Right on Dalhousie Dr (going north), travel 0.5 km.  Turn Left on bus Lane (going north-west), travel 0.4 km.  Turn Left on Hillside Dr (going south-west), travel 0.3 km.  Turn Left on McGill Rd (going east), travel 2.5 km.  Turn Left on Bestwick Dr (going north), travel 0.4 km.  Turn Right on Sahali Terr (going north), travel 0.4 km.  Turn Right on Columbia St W (going south-east), travel 0.4 km.  Continue Straight on Columbia St (going east), travel 0.3 km.  Turn Left on 3rd Ave (going north), travel 0.4 km.  Turn Right on Seymour St (going east), travel 0.5 km.  Turn Left on 6th Ave (going north), travel 0.2 km.  Turn Right on bus Lane (going north-east), travel 64 meters.  Finish at Bay B at Lansdowne Exchange (Stop ID: 104577)."
9,200,"Starting at Bay B at Lansdowne Exchange (Stop ID: 104577).  On bus Lane (going east), travel 97 meters.  Turn Right on Lansdowne St (going west), travel 0.1 km.  Turn Left on 6th Ave (going south), travel 97 meters.  Turn Right on Victoria St (going west), travel 0.3 km.  Turn Left on 4th Ave (going south), travel 0.5 km.  Turn Right on Columbia St (going west), travel 0.5 km.  Continue Straight on Columbia St W (going west), travel 1.5 km.  Turn Right on McGill Rd (going west), travel 0.7 km.  Turn Right on Dalhousie Dr (going north), travel 0.5 km.  Turn Left on bus Lane (going north-west), travel 0.2 km.  Turn Left on Hillside Dr (going south-west), travel 0.3 km.  Turn Left on McGill Rd (going east), travel 0.9 km.  Take turning lane on Right (going east), travel 58 meters.  Merge on Summit Dr (going south-east), travel 1.4 km.  Turn Right on Springhill Dr (going south-west), travel 1.8 km.  Finish at southbound Springhill NS Gleneagles (Stop ID: 104585)."
9,201,"Starting at Bay B at Lansdowne Exchange (Stop ID: 104577).  On bus Lane (going east), travel 97 meters.  Turn Right on Lansdowne St (going west), travel 0.1 km.  Turn Left on 6th Ave (going south), travel 97 meters.  Turn Right on Victoria St (going west), travel 0.3 km.  Turn Left on 4th Ave (going south), travel 0.5 km.  Turn Right on Columbia St (going west), travel 0.5 km.  Continue Straight on Columbia St W (going west), travel 0.4 km.  Turn Left on Sahali Terr (going south-west), travel 0.5 km.  Turn Left on Bestwick Dr (going south-east), travel 0.4 km.  Turn Right on McGill Rd (going west), travel 2.0 km.  Turn Right on Dalhousie Dr (going north), travel 0.5 km.  Turn Left on bus Lane (going north-west), travel 0.2 km.  Turn Left on Hillside Dr (going south-west), travel 0.3 km.  Turn Left on McGill Rd (going east), travel 0.9 km.  Take turning lane on Right (going east), travel 58 meters.  Merge on Summit Dr (going south-east), travel 1.4 km.  Turn Right on Springhill Dr (going south-west), travel 1.8 km.  Finish at southbound Springhill NS Gleneagles (Stop ID: 104585)."
9,203,"Starting at Bay B at Lansdowne Exchange (Stop ID: 104577).  On bus Lane (going east), travel 97 meters.  Turn Right on Lansdowne St (going west), travel 0.1 km.  Turn Left on 6th Ave (going south), travel 97 meters.  Turn Right on Victoria St (going west), travel 0.3 km.  Turn Left on 4th Ave (going south), travel 0.5 km.  Turn Right on Columbia St (going west), travel 0.5 km.  Continue Straight on Columbia St W (going west), travel 1.5 km.  Turn Right on McGill Rd (going west), travel 0.7 km.  Turn Right on Dalhousie Dr (going north), travel 0.5 km.  Turn Left on bus Lane (going north-west), travel 0.1 km.  Finish at Bay E at TRU Exchange (Stop ID: 104578)."
